Date,CAOS,SPY
2024-01-02,82.83999633789062,461.2474670410156
2024-01-03,82.6709976196289,457.4805908203125
2024-01-04,82.6500015258789,456.0069885253906
2024-01-05,82.62000274658203,456.6315002441406
2024-01-08,82.80000305175781,463.1504211425781
2024-01-09,82.88300323486328,462.44781494140625
2024-01-10,82.98999786376953,465.06317138671875
2024-01-11,83.04000091552734,464.85821533203125
2024-01-12,83.05799865722656,465.1802062988281
2024-01-16,83.0530014038086,463.4724426269531
2024-01-17,82.8499984741211,460.8961486816406
2024-01-18,83.2509994506836,464.9947814941406
2024-01-19,83.31999969482422,470.79150390625
2024-01-22,83.27999877929688,471.78692626953125
2024-01-23,83.27999877929688,473.1628723144531
2024-01-24,83.28700256347656,473.6801452636719
2024-01-25,83.3499984741211,476.25640869140625
2024-01-26,83.33999633789062,475.6513671875
2024-01-29,83.33599853515625,479.4182434082031
2024-01-30,83.35700225830078,479.0473937988281
2024-01-31,83.4000015258789,471.2306823730469
2024-02-01,83.54000091552734,477.398193359375
2024-02-02,83.50900268554688,482.4239501953125
2024-02-05,83.51000213623047,480.6673583984375
2024-02-06,83.48999786376953,482.0628967285156
2024-02-07,83.46499633789062,486.0835266113281
2024-02-08,83.51000213623047,486.2982177734375
2024-02-09,83.50900268554688,489.10870361328125
2024-02-12,83.51899719238281,488.8940124511719
2024-02-13,83.68000030517578,482.160400390625
2024-02-14,83.5989990234375,486.54217529296875
2024-02-15,83.60600280761719,489.8991394042969
2024-02-16,83.6259994506836,487.4595031738281
2024-02-20,83.57099914550781,484.7758483886719
2024-02-21,83.60600280761719,485.2149963378906
2024-02-22,83.78700256347656,495.2567138671875
2024-02-23,83.81500244140625,495.5982971191406
2024-02-26,83.77999877929688,493.7831115722656
2024-02-27,83.73999786376953,494.7004699707031
2024-02-28,83.81900024414062,494.0466003417969
2024-02-29,83.81600189208984,495.82275390625
2024-03-01,83.8550033569336,500.4776306152344
2024-03-04,83.86299896240234,499.94091796875
2024-03-05,83.91000366210938,494.9444580078125
2024-03-06,83.86299896240234,497.45245361328125
2024-03-07,83.86499786376953,502.3903503417969
2024-03-08,83.9469985961914,499.3749084472656
2024-03-11,83.98999786376953,498.94549560546875
2024-03-12,84.01000213623047,504.3128662109375
2024-03-13,83.9000015258789,503.52239990234375
2024-03-14,84.01000213623047,502.5269470214844
2024-03-15,84.00399780273438,499.07635498046875
2024-03-18,84.04499816894531,502.04241943359375
2024-03-19,84.0,504.8323059082031
2024-03-20,84.14099884033203,509.50164794921875
2024-03-21,84.16899871826172,511.1854553222656
2024-03-22,84.18000030517578,510.2162780761719
2024-03-25,84.18800354003906,508.8067321777344
2024-03-26,84.25,507.8669128417969
2024-03-27,84.2300033569336,512.1349487304688
2024-03-28,84.30000305175781,512.0370483398438
2024-04-01,84.26399993896484,511.1463317871094
2024-04-02,84.22000122070312,507.8963623046875
2024-04-03,84.1760025024414,508.4542541503906
2024-04-04,84.04900360107422,502.2480163574219
2024-04-05,84.30000305175781,507.4949645996094
2024-04-08,84.28399658203125,507.7788391113281
2024-04-09,84.20999908447266,508.3662109375
