Date,GAL
2024-01-02,38.52202606201172
2024-01-03,38.33466339111328
2024-01-04,38.23161315917969
2024-01-05,38.25035095214844
2024-01-08,38.5407600402832
2024-01-09,38.37213134765625
2024-01-10,38.44708251953125
2024-01-11,38.48455810546875
2024-01-12,38.59697723388672
2024-01-16,38.22224426269531
2024-01-17,38.006778717041016
2024-01-18,38.22224426269531
2024-01-19,38.4283447265625
2024-01-22,38.53139114379883
2024-01-23,38.550132751464844
2024-01-24,38.59697723388672
2024-01-25,38.72813034057617
2024-01-26,38.77496337890625
2024-01-29,38.95296096801758
2024-01-30,38.92485809326172
2024-01-31,38.57823181152344
2024-02-01,38.92485809326172
2024-02-02,38.93423080444336
2024-02-05,38.73749923706055
2024-02-06,38.89675521850586
2024-02-07,38.99043273925781
2024-02-08,39.056007385253906
2024-02-09,39.13096237182617
2024-02-12,39.215274810791016
2024-02-13,38.6438102722168
2024-02-14,39.00917434692383
2024-02-15,39.34642791748047
2024-02-16,39.262115478515625
2024-02-20,39.149696350097656
2024-02-21,39.140323638916016
2024-02-22,39.552528381347656
2024-02-23,39.590003967285156
2024-02-26,39.53379440307617
2024-02-27,39.618099212646484
2024-02-28,39.45884323120117
2024-02-29,39.590003967285156
2024-03-01,39.88041687011719
2024-03-04,39.83357238769531
2024-03-05,39.693050384521484
2024-03-06,39.90851593017578
2024-03-07,40.217674255371094
2024-03-08,40.11461639404297
2024-03-11,40.03030776977539
2024-03-12,40.25514602661133
2024-03-13,40.20829772949219
2024-03-14,40.011566162109375
2024-03-15,39.90851593017578
2024-03-18,39.98347091674805
2024-03-19,40.13011169433594
2024-03-20,40.4121208190918
2024-03-21,40.51552200317383
2024-03-22,40.43092346191406
2024-03-25,40.3745231628418
2024-03-26,40.28050994873047
2024-03-27,40.590728759765625
2024-03-28,40.618927001953125
2024-04-01,40.49673080444336
2024-04-02,40.32752227783203
2024-04-03,40.4403190612793
2024-04-04,40.224117279052734
2024-04-05,40.39332580566406
2024-04-08,40.45912551879883
2024-04-09,40.54372787475586
